recording_id,audio_video,subject,month,start,end,is_subregion,is_top_3_hours,is_top_4_hours,is_surplus,position,subregion_rank,duration,region_id
audio_01_11,audio,01,11,30300000,33900000,TRUE,TRUE,TRUE,FALSE,3,1,01:00:00,audio_01_11_30300000_33900000
audio_01_11,audio,01,11,37500000,41100000,TRUE,FALSE,TRUE,FALSE,4,4,01:00:00,audio_01_11_37500000_41100000
audio_01_12,audio,01,12,5700000,9300000,TRUE,TRUE,TRUE,FALSE,1,2,01:00:00,audio_01_12_5700000_9300000
audio_01_12,audio,01,12,12300000,15900000,TRUE,FALSE,TRUE,FALSE,2,4,01:00:00,audio_01_12_12300000_15900000
audio_01_12,audio,01,12,21600000,25200000,TRUE,TRUE,TRUE,FALSE,3,1,01:00:00,audio_01_12_21600000_25200000
audio_01_12,audio,01,12,40200000,43800000,TRUE,TRUE,TRUE,FALSE,5,3,01:00:00,audio_01_12_40200000_43800000
audio_01_13,audio,01,13,301450,441020,FALSE,FALSE,TRUE,FALSE,NA,NA,00:02:19,audio_01_13_301450_441020
audio_01_13,audio,01,13,4200000,7800000,TRUE,TRUE,TRUE,FALSE,2,1,01:00:00,audio_01_13_4200000_7800000
audio_01_13,audio,01,13,15900000,19373130,TRUE,FALSE,TRUE,FALSE,3,4,00:57:53,audio_01_13_15900000_19373130
audio_01_13,audio,01,13,28500000,32100000,TRUE,TRUE,TRUE,FALSE,4,2,01:00:00,audio_01_13_28500000_32100000
audio_01_13,audio,01,13,33000000,36600000,TRUE,TRUE,TRUE,FALSE,5,3,01:00:00,audio_01_13_33000000_36600000
audio_01_14,audio,01,14,1,3600000,TRUE,TRUE,NA,FALSE,1,2,00:59:59,audio_01_14_1_3600000
audio_01_14,audio,01,14,6000000,9600000,TRUE,TRUE,NA,FALSE,2,3,01:00:00,audio_01_14_6000000_9600000
audio_01_14,audio,01,14,18000000,21600000,TRUE,TRUE,NA,FALSE,3,1,01:00:00,audio_01_14_18000000_21600000
audio_01_15,audio,01,15,12300000,15900000,TRUE,TRUE,NA,FALSE,1,2,01:00:00,audio_01_15_12300000_15900000
audio_01_15,audio,01,15,30900000,34500000,TRUE,TRUE,NA,FALSE,3,1,01:00:00,audio_01_15_30900000_34500000
audio_01_15,audio,01,15,36000000,39600000,TRUE,TRUE,NA,FALSE,4,3,01:00:00,audio_01_15_36000000_39600000
