recording_id,audio_video,subject,month,start_dt,end_dt,start_ms,end_ms,sub_recording_id
audio_06_13,audio,06,13,1920-01-01 07:39:35,1920-01-01 23:39:34,0,57599990,audio_06_13_0
audio_06_14,audio,06,14,1920-01-01 09:32:11,1920-01-01 19:22:36,0,35425420,audio_06_14_0
audio_06_14,audio,06,14,1920-01-01 19:23:40,1920-01-02 01:33:14,35425420,57599990,audio_06_14_35425420
audio_06_15,audio,06,15,1920-01-01 08:11:59,1920-01-02 00:11:58,0,57599990,audio_06_15_0
audio_06_16,audio,06,16,1920-01-01 08:44:56,1920-01-02 00:44:55,0,57599990,audio_06_16_0
audio_06_17,audio,06,17,1920-01-01 08:58:10,1920-01-01 23:32:55,0,42292638,audio_06_17_0
audio_07_06,audio,07,06,1920-01-01 13:10:55,1920-01-02 05:10:54,0,57599990,audio_07_06_0
audio_07_07,audio,07,07,1920-01-01 08:36:51,1920-01-02 00:36:50,0,57599990,audio_07_07_0
audio_07_08,audio,07,08,1920-01-01 07:34:56,1920-01-01 22:01:26,0,51990550,audio_07_08_0
audio_07_09,audio,07,09,1920-01-01 06:50:31,1920-01-01 22:50:30,0,57599990,audio_07_09_0
audio_07_10,audio,07,10,1920-01-01 05:45:49,1920-01-01 17:38:02,0,42733990,audio_07_10_0
audio_07_11,audio,07,11,1920-01-01 06:56:34,1920-01-01 22:56:33,0,57599990,audio_07_11_0
audio_07_12,audio,07,12,1920-01-01 06:16:35,1920-01-01 14:29:43,0,29588740,audio_07_12_0
audio_07_13,audio,07,13,1920-01-01 07:19:05,1920-01-01 16:06:01,0,31616110,audio_07_13_0
audio_07_14,audio,07,14,1920-01-01 09:26:00,1920-01-01 19:00:20,0,34460740,audio_07_14_0
audio_07_15,audio,07,15,1920-01-01 08:49:41,1920-01-01 19:41:45,0,39124550,audio_07_15_0
audio_07_16,audio,07,16,1920-01-01 06:20:55,1920-01-01 19:14:27,0,46412740,audio_07_16_0
audio_07_17,audio,07,17,1920-01-01 08:30:28,1920-01-01 21:00:16,0,44988930,audio_07_17_0
audio_08_06,audio,08,06,1920-01-01 10:05:49,1920-01-02 02:05:48,0,57599990,audio_08_06_0
audio_08_07,audio,08,07,1920-01-01 09:08:47,1920-01-02 01:08:46,0,57599990,audio_08_07_0
audio_08_08,audio,08,08,1920-01-01 08:14:55,1920-01-02 00:14:54,0,57599990,audio_08_08_0
audio_08_09,audio,08,09,1920-01-01 07:24:46,1920-01-01 23:24:45,0,57599990,audio_08_09_0
audio_08_10,audio,08,10,1920-01-01 08:09:50,1920-01-02 00:09:49,0,57599990,audio_08_10_0
audio_08_11,audio,08,11,1920-01-01 06:37:21,1920-01-01 22:37:20,0,57599990,audio_08_11_0
audio_08_12,audio,08,12,1920-01-01 08:32:20,1920-01-02 00:32:19,0,57599990,audio_08_12_0
audio_08_13,audio,08,13,1920-01-01 06:25:45,1920-01-01 22:25:44,0,57599990,audio_08_13_0
audio_08_14,audio,08,14,1920-01-01 06:52:27,1920-01-01 22:52:26,0,57599990,audio_08_14_0
audio_08_15,audio,08,15,1920-01-01 07:45:46,1920-01-01 23:45:45,0,57599990,audio_08_15_0
audio_08_16,audio,08,16,1920-01-01 07:12:39,1920-01-01 23:12:38,0,57599990,audio_08_16_0
audio_08_17,audio,08,17,1920-01-01 07:41:12,1920-01-01 23:41:11,0,57599990,audio_08_17_0
audio_09_06,audio,09,06,1920-01-01 09:45:33,1920-01-02 01:45:32,0,57599990,audio_09_06_0
audio_09_07,audio,09,07,1920-01-01 07:15:21,1920-01-01 23:15:20,0,57599990,audio_09_07_0
audio_09_08,audio,09,08,1920-01-01 08:29:13,1920-01-01 20:17:12,0,42479680,audio_09_08_0
audio_09_09,audio,09,09,1920-01-01 07:24:30,1920-01-01 16:02:33,0,31083800,audio_09_09_0
audio_09_10,audio,09,10,1920-01-01 06:59:51,1920-01-01 22:59:50,0,57599990,audio_09_10_0
audio_09_11,audio,09,11,1920-01-01 06:47:27,1920-01-01 22:47:26,0,57599990,audio_09_11_0
